CaseOrder,Churn,Outage_sec_perweek,Yearly_equip_failure,Income,Email,Contacts,Techie,Contract,Multiple,Tenure,MonthlyCharge,Bandwidth_GB_Year
1,No,7.978322947,1,28561.99,10,0,No,One year,No,6.795512947,172.455519,904.5361102
2,Yes,11.69907956,1,21704.77,12,0,Yes,Month-to-month,Yes,1.156680997,242.632554,800.9827661
3,No,10.75280028,1,9609.57,9,0,Yes,Two Year,Yes,15.75414408,159.947583,2054.706961
4,No,14.91353964,0,18925.23,15,2,Yes,Two Year,No,17.08722662,119.95684,2164.579412
5,Yes,8.147416533,1,40074.19,16,2,No,Month-to-month,No,1.670971726,149.948316,271.4934362
6,No,8.420992898,1,22660.2,15,3,No,One year,Yes,7.000993555,185.007692,1039.357983
7,Yes,11.18272453,1,11467.5,10,0,Yes,Month-to-month,No,13.23677381,200.118516,1907.242972
8,Yes,7.791632265,0,26759.64,16,0,Yes,Month-to-month,No,4.26425515,114.950905,979.6127078
9,No,5.739005915,3,58634.51,20,2,No,Month-to-month,No,8.220686373,117.468591,1312.874964
10,No,8.707823904,0,50231.4,18,1,No,Two Year,No,3.422086139,162.482694,508.7637913
11,No,9.341631685,2,22580.7,9,0,No,Month-to-month,Yes,19.26726194,174.958118,2728.767869
12,No,6.68082638,1,18342.12,17,1,No,Month-to-month,No,10.52199781,149.962093,1180.588788
13,No,8.273875452,0,83671.08,9,0,No,Month-to-month,No,13.01149229,137.439154,1196.388018
14,No,5.880565591,0,115114.57,14,1,No,Two Year,Yes,16.87922024,184.971516,1948.694497
15,Yes,11.79073041,0,64256.81,10,3,No,Month-to-month,Yes,10.06019902,159.965581,1582.295235
16,Yes,10.79846973,0,89061.45,13,1,No,One year,No,13.87001293,177.65076,1840.014467
17,Yes,13.52284721,0,31659.3,13,1,No,Month-to-month,Yes,15.78214958,194.966286,2070.376729
18,Yes,9.831166695,0,44142.81,16,3,No,Two Year,No,2.303331273,202.682861,882.0985933
19,No,9.57470568,0,39262.14,11,1,Yes,Two Year,No,17.10995632,152.490739,1833.0967
20,Yes,10.92246098,0,19494.75,10,1,No,Month-to-month,Yes,12.80615845,149.944668,1954.080809
21,No,12.06889188,3,39624.21,14,0,No,Month-to-month,No,20.45390977,184.978458,2330.319383
22,No,6.984819996,0,45714.47,18,1,No,Two Year,No,2.415991977,127.495766,594.1054279
23,No,9.372975594,1,27442.03,16,1,No,Month-to-month,No,6.652298992,124.964303,713.0633088
24,No,7.109002592,0,79699.62,9,0,No,One year,No,8.543717478,149.948316,945.3802928
25,Yes,13.74777955,0,28520.32,15,1,No,Month-to-month,Yes,5.770390256,162.511928,870.76398
26,Yes,9.767668044,0,12558.83,12,1,No,Month-to-month,No,4.157658837,92.455141,774.2937069
27,Yes,15.8626095,1,8762.23,15,0,No,Month-to-month,No,10.40566091,222.649979,1506.446527
28,Yes,14.73616645,0,43882.72,12,0,No,Month-to-month,No,1.392421597,139.981577,419.0508708
29,Yes,13.43558029,0,10482.52,13,2,Yes,One year,No,1.430386349,200.132293,1259.415493
30,Yes,10.61771118,0,33442.79,18,1,No,Two Year,Yes,5.425864884,257.651257,1745.125956
31,No,6.613070806,0,43383.54,14,0,No,Two Year,No,11.08287797,230.105118,1795.465729
32,No,4.450171647,0,21793.88,13,2,No,Two Year,Yes,3.586184954,147.489301,492.4771472
33,Yes,8.774646693,0,51960.51,9,0,No,Month-to-month,No,4.727388465,230.105118,1013.993166
34,Yes,11.13156721,1,25942.1,8,1,No,Month-to-month,Yes,20.89923386,174.958118,2680.762173
35,Yes,5.540788887,0,11211.59,15,1,No,One year,Yes,3.471329958,267.664655,1081.814362
36,Yes,13.80362698,1,8283.29,11,0,No,Month-to-month,Yes,5.478588204,162.483267,1209.961168
37,Yes,16.31017089,1,10114.81,16,1,No,Month-to-month,Yes,3.312991809,229.993134,897.5919144
38,No,9.447065309,0,36229.21,9,2,No,One year,Yes,7.161561527,140.00128,1340.930156
39,No,16.84100845,0,25397.44,12,1,No,Two Year,No,9.847563364,184.964681,1113.993679
40,No,7.972937227,1,50336.5,10,1,No,Two Year,No,16.04202196,147.473844,1530.10769
41,No,11.42906608,0,38211.37,12,1,No,Month-to-month,No,9.179779682,172.457857,1310.137419
42,No,8.06137096,0,52887.26,16,2,No,Month-to-month,No,3.002844144,107.481989,892.8964931
43,Yes,12.54780492,2,12003.33,11,1,No,Two Year,Yes,3.924254455,255.141716,1125.581944
44,No,8.255565152,0,24090.62,13,0,No,Two Year,Yes,18.55959629,192.456745,2016.710031
45,Yes,13.156514,0,15137.93,6,0,No,Two Year,Yes,8.798394712,242.632554,1412.736809
46,Yes,10.58349704,0,54458.38,5,1,No,Month-to-month,Yes,10.377366,245.174977,1710.689671
47,Yes,12.50184778,0,132116.33,11,1,No,Month-to-month,No,22.25746016,184.964681,2384.885909
48,Yes,9.750038902,0,37358.13,11,1,Yes,Month-to-month,Yes,9.427146079,195.006206,1213.940165
49,No,7.868660851,2,26534.16,11,2,No,Two Year,No,7.760290062,104.962874,740.010722
50,No,12.43563329,1,76430.83,14,0,No,Month-to-month,No,11.56938439,92.488023,897.9716153
51,Yes,8.957166926,0,4662.37,13,3,No,Month-to-month,Yes,3.343811019,184.979684,1026.387172
52,Yes,8.015021713,0,43820.85,12,1,No,Month-to-month,No,7.338869531,187.656013,1234.244324
53,No,4.210347704,0,38391.55,8,0,No,Month-to-month,No,5.486534225,149.962093,727.3731845
54,Yes,11.13960534,0,44137.6,6,0,Yes,One year,Yes,1.55278221,169.944668,452.8721504
55,Yes,9.03738856,0,14364.65,11,2,No,Month-to-month,Yes,12.07970325,160.00128,1296.674543
56,No,10.91594785,1,62359.91,11,1,No,One year,No,13.98666226,129.962093,1840.628269
57,Yes,8.387624096,1,82634.86,11,0,No,Month-to-month,No,9.563362997,114.950905,1324.330108
58,No,11.4487514,1,15690.25,11,0,No,Two Year,No,6.732948946,142.515576,958.1397059
59,Yes,10.22013704,0,14568.7,15,2,No,Two Year,Yes,15.72071086,220.14775,1868.864027
60,No,8.425458142,0,29207.46,9,1,No,Two Year,No,7.233605493,124.97808,676.712908
61,No,8.386280619,0,55319.23,12,1,No,One year,No,2.871017037,164.964681,1086.990308
62,No,9.565924291,0,81831.49,10,3,No,Month-to-month,Yes,2.344875382,194.976769,704.7540406
63,Yes,10.79349982,0,100076.65,14,3,No,Month-to-month,No,7.960490246,152.455519,1416.444695
64,No,6.081975067,0,69965.65,15,0,No,Month-to-month,No,12.25062113,92.5018,1095.950634
65,No,13.55065547,0,34883.69,13,0,Yes,Month-to-month,No,9.634946079,127.488728,1083.610268
66,No,9.470419821,0,45634.2,14,1,No,Two Year,Yes,7.916533093,184.963371,1570.641337
67,Yes,6.194985909,1,10964.73,11,0,No,Month-to-month,Yes,4.471254161,265.146969,1007.425553
68,Yes,10.80393657,0,22365.28,19,1,No,Month-to-month,No,10.79028074,207.609354,1323.028419
69,No,7.903964267,1,52636.6,17,0,No,Month-to-month,Yes,12.24190682,152.462354,1808.730555
70,Yes,11.27443693,1,19048.13,18,2,Yes,Month-to-month,No,2.203859443,200.132293,1120.241472
71,Yes,6.129509309,0,42784.82,12,0,No,One year,No,23.92132231,212.655686,2676.789803
72,Yes,7.969277912,0,77996.88,17,0,Yes,One year,Yes,3.7311787,255.119794,1268.086909
73,No,4.368120492,0,47507.3,9,0,No,Two Year,No,7.980015371,134.950905,822.6771666
74,Yes,6.258356398,1,7724.73,9,0,No,Month-to-month,No,9.190009376,255.137219,1577.915603
