CaseOrder,Outage_sec_perweek,Yearly_equip_failure,InternetService,Bandwidth_GB_Year,Population,Area,Tenure
1,7.978322947,1,Fiber Optic,904.5361102,38,Urban,6.795512947
2,11.69907956,1,Fiber Optic,800.9827661,10446,Urban,1.156680997
3,10.75280028,1,DSL,2054.706961,3735,Urban,15.75414408
4,14.91353964,0,DSL,2164.579412,13863,Suburban,17.08722662
5,8.147416533,1,Fiber Optic,271.4934362,11352,Suburban,1.670971726
6,8.420992898,1,None,1039.357983,17701,Urban,7.000993555
7,11.18272453,1,DSL,1907.242972,2535,Suburban,13.23677381
8,7.791632265,0,DSL,979.6127078,23144,Suburban,4.26425515
9,5.739005915,3,DSL,1312.874964,17351,Suburban,8.220686373
10,8.707823904,0,Fiber Optic,508.7637913,20193,Rural,3.422086139
11,9.341631685,2,DSL,2728.767869,555,Urban,19.26726194
12,6.68082638,1,Fiber Optic,1180.588788,33372,Rural,10.52199781
13,8.273875452,0,Fiber Optic,1196.388018,556,Rural,13.01149229
15,11.79073041,0,DSL,1582.295235,8165,Urban,10.06019902
16,10.79846973,0,None,1840.014467,2093,Suburban,13.87001293
17,13.52284721,0,DSL,2070.376729,50079,Urban,15.78214958
18,9.831166695,0,None,882.0985933,7249,Rural,2.303331273
19,9.57470568,0,None,1833.0967,9463,Rural,17.10995632
20,10.92246098,0,DSL,1954.080809,3177,Rural,12.80615845
21,12.06889188,3,Fiber Optic,2330.319383,69,Rural,20.45390977
22,6.984819996,0,Fiber Optic,594.1054279,14440,Suburban,2.415991977
23,9.372975594,1,Fiber Optic,713.0633088,381,Urban,6.652298992
24,7.109002592,0,Fiber Optic,945.3802928,2193,Urban,8.543717478
25,13.74777955,0,None,870.76398,9434,Rural,5.770390256
26,9.767668044,0,DSL,774.2937069,29568,Suburban,4.157658837
27,15.8626095,1,Fiber Optic,1506.446527,3089,Rural,10.40566091
28,14.73616645,0,None,419.0508708,5652,Urban,1.392421597
29,13.43558029,0,DSL,1259.415493,1716,Urban,1.430386349
30,10.61771118,0,DSL,1745.125956,52484,Suburban,5.425864884
31,6.613070806,0,Fiber Optic,1795.465729,11268,Urban,11.08287797
32,4.450171647,0,None,492.4771472,1765,Rural,3.586184954
33,8.774646693,0,Fiber Optic,1013.993166,680,Rural,4.727388465
34,11.13156721,1,DSL,2680.762173,136,Rural,20.89923386
35,5.540788887,0,Fiber Optic,1081.814362,1517,Urban,3.471329958
36,13.80362698,1,DSL,1209.961168,14103,Suburban,5.478588204
37,16.31017089,1,Fiber Optic,897.5919144,6394,Suburban,3.312991809
38,9.447065309,0,DSL,1340.930156,5059,Urban,7.161561527
39,16.84100845,0,Fiber Optic,1113.993679,20450,Suburban,9.847563364
40,7.972937227,1,Fiber Optic,1530.10769,2123,Suburban,16.04202196
41,11.42906608,0,Fiber Optic,1310.137419,1164,Urban,9.179779682
42,8.06137096,0,DSL,892.8964931,23,Suburban,3.002844144
43,12.54780492,2,Fiber Optic,1125.581944,895,Suburban,3.924254455
44,8.255565152,0,Fiber Optic,2016.710031,6699,Suburban,18.55959629
45,13.156514,0,Fiber Optic,1412.736809,35743,Rural,8.798394712
46,10.58349704,0,None,1710.689671,320,Urban,10.377366
47,12.50184778,0,Fiber Optic,2384.885909,7870,Suburban,22.25746016
48,9.750038902,0,Fiber Optic,1213.940165,861,Suburban,9.427146079
49,7.868660851,2,None,740.010722,15364,Rural,7.760290062
50,12.43563329,1,None,897.9716153,2589,Suburban,11.56938439
51,8.957166926,0,DSL,1026.387172,4901,Urban,3.343811019
52,8.015021713,0,None,1234.244324,39649,Urban,7.338869531
53,4.210347704,0,Fiber Optic,727.3731845,456,Suburban,5.486534225
54,11.13960534,0,Fiber Optic,452.8721504,94,Urban,1.55278221
55,9.03738856,0,Fiber Optic,1296.674543,315,Urban,12.07970325
56,10.91594785,1,DSL,1840.628269,4969,Suburban,13.98666226
57,8.387624096,1,DSL,1324.330108,46869,Suburban,9.563362997
58,11.4487514,1,None,958.1397059,58431,Rural,6.732948946
59,10.22013704,0,None,1868.864027,26182,Suburban,15.72071086
60,8.425458142,0,Fiber Optic,676.712908,694,Rural,7.233605493
61,8.386280619,0,DSL,1086.990308,3093,Suburban,2.871017037
62,9.565924291,0,Fiber Optic,704.7540406,2765,Urban,2.344875382
63,10.79349982,0,DSL,1416.444695,3757,Rural,7.960490246
64,6.081975067,0,None,1095.950634,4938,Rural,12.25062113
65,13.55065547,0,None,1083.610268,3761,Suburban,9.634946079
66,9.470419821,0,DSL,1570.641337,1851,Urban,7.916533093
67,6.194985909,1,Fiber Optic,1007.425553,38476,Suburban,4.471254161
68,10.80393657,0,Fiber Optic,1323.028419,13547,Urban,10.79028074
69,7.903964267,1,DSL,1808.730555,7801,Urban,12.24190682
70,11.27443693,1,DSL,1120.241472,17823,Suburban,2.203859443
71,6.129509309,0,None,2676.789803,20269,Urban,23.92132231
72,7.969277912,0,DSL,1268.086909,30225,Rural,3.7311787
73,4.368120492,0,Fiber Optic,822.6771666,5760,Suburban,7.980015371
74,6.258356398,1,Fiber Optic,1577.915603,61,Urban,9.190009376
75,12.92303286,0,Fiber Optic,648.7471776,34359,Urban,2.378630018
76,12.43301273,0,DSL,1648.102673,24693,Rural,5.43464555
77,7.607663559,0,None,768.0874545,4235,Rural,1.092361222
78,7.442789019,1,DSL,2426.030626,2193,Urban,20.13981517
79,13.04429298,0,Fiber Optic,2660.503932,273,Rural,24.64873861
80,14.89762162,0,Fiber Optic,1129.549713,14557,Rural,9.677739656
81,13.79387475,1,DSL,1771.286466,17653,Urban,9.82814183
82,15.66367593,0,Fiber Optic,943.3391244,285,Rural,7.832238337
83,8.513410306,0,Fiber Optic,1907.226083,320,Urban,19.45250317
84,8.265002035,0,DSL,1885.939118,2863,Urban,14.34766616
85,8.6026551,0,Fiber Optic,631.7435653,1206,Suburban,2.257358355
86,6.03993035,0,Fiber Optic,562.6095219,35279,Rural,2.358129018
87,14.6040829,0,None,593.8572264,1049,Suburban,4.650578623
88,7.274007029,1,None,777.3060718,32203,Suburban,3.721772616
89,8.913898759,0,DSL,1393.202392,25576,Rural,3.76663012
90,11.59313893,2,Fiber Optic,393.6524652,319,Urban,4.151256695
